Timestamp,Word
0,The
1,Project
2,Gutenberg
3,EBook
4,of
5,The
6,Adventures
7,of
8,Sherlock
9,Holmes
10,by
11,Sir
12,Arthur
13,Conan
14,Doyle
15,(#15
16,in
17,our
18,series
19,by
20,Sir
21,Arthur
22,Conan
23,Doyle)
24,Copyright
25,laws
26,are
27,changing
28,all
29,over
30,the
31,world.
32,Be
33,sure
34,to
35,check
36,the
37,copyright
38,laws
39,for
40,your
41,country
42,before
43,downloading
44,or
45,redistributing
46,this
47,or
48,any
49,other
50,Project
51,Gutenberg
52,eBook.
53,This
54,header
55,should
56,be
57,the
58,first
59,thing
60,seen
61,when
62,viewing
63,this
64,Project
65,Gutenberg
66,file.
67,Please
68,do
69,not
70,remove
71,it.
72,Do
73,not
74,change
75,or
76,edit
77,the
78,header
79,without
80,written
81,permission.
82,Please
83,read
84,the
85,"""legal"
86,small
87,"print,"""
88,and
89,other
90,information
91,about
92,the
93,eBook
94,and
95,Project
96,Gutenberg
97,at
98,the
99,bottom
100,of
101,this
102,file.
103,Included
104,is
105,important
106,information
107,about
108,your
109,specific
110,rights
111,and
112,restrictions
113,in
114,how
115,the
116,file
117,may
118,be
119,used.
120,You
121,can
122,also
123,find
124,out
125,about
126,how
127,to
128,make
129,a
130,donation
131,to
132,Project
133,"Gutenberg,"
134,and
135,how
136,to
137,get
138,involved.
139,**Welcome
140,To
141,The
142,World
143,of
144,Free
145,Plain
146,Vanilla
147,Electronic
148,Texts**
149,**eBooks
150,Readable
151,By
152,Both
153,Humans
154,and
155,By
156,"Computers,"
157,Since
158,1971**
159,*****These
160,eBooks
161,Were
162,Prepared
163,By
164,Thousands
165,of
166,Volunteers!*****
167,Title:
168,The
169,Adventures
170,of
171,Sherlock
172,Holmes
173,Author:
174,Sir
175,Arthur
176,Conan
177,Doyle
178,Release
179,Date:
180,"March,"
181,1999
182,[EBook
183,#1661]
184,[Most
185,recently
186,updated:
187,November
188,"29,"
189,2002]
190,Edition:
191,12
192,Language:
193,English
194,Character
195,set
196,encoding:
197,ASCII
198,***
199,START
200,OF
201,THE
202,PROJECT
203,GUTENBERG
204,"EBOOK,"
205,THE
206,ADVENTURES
207,OF
208,SHERLOCK
209,HOLMES
210,***
211,(Additional
212,editing
213,by
214,Jose
215,Menendez)
216,THE
217,ADVENTURES
218,OF
219,SHERLOCK
220,HOLMES
221,BY
222,SIR
223,ARTHUR
224,CONAN
225,DOYLE
226,CONTENTS
227,I.
228,A
229,Scandal
230,in
231,Bohemia
232,II.
233,The
234,Red-Headed
235,League
236,III.
237,A
238,Case
239,of
240,Identity
241,IV.
242,The
243,Boscombe
244,Valley
245,Mystery
246,V.
247,The
248,Five
249,Orange
250,Pips
251,VI.
252,The
253,Man
254,with
255,the
256,Twisted
257,Lip
258,VII.
259,The
260,Adventure
261,of
262,the
263,Blue
264,Carbuncle
265,VIII.
266,The
267,Adventure
268,of
269,the
270,Speckled
271,Band
272,IX.
273,The
274,Adventure
275,of
276,the
277,Engineer's
278,Thumb
279,X.
280,The
281,Adventure
282,of
283,the
284,Noble
285,Bachelor
286,XI.
287,The
288,Adventure
289,of
290,the
291,Beryl
292,Coronet
293,XII.
294,The
295,Adventure
296,of
297,the
298,Copper
299,Beeches
300,ADVENTURE
301,I.
302,A
303,SCANDAL
304,IN
305,BOHEMIA
306,I.
307,To
308,Sherlock
309,Holmes
310,she
311,is
312,always
313,the
314,woman.
315,I
316,have
317,seldom
318,heard
319,him
320,mention
321,her
322,under
323,any
324,other
325,name.
326,In
327,his
328,eyes
329,she
330,eclipses
331,and
332,predominates
333,the
334,whole
335,of
336,her
337,sex.
338,It
339,was
340,not
341,that
